id,observed_on,time_observed_at,quality_grade,url,image_url,latitude,longitude,species_guess,scientific_name,common_name,taxon_family_name,taxon_genus_name
1,25-09-2021,2021-09-25 11:49:03 UTC,needs_id,https://www.inaturalist.org/observations/96069617,https://inaturalist-open-data.s3.amazonaws.com/photos/159560074/medium.jpeg,13.05336008,80.20246522,green callaloo amaranth,Amaranthus viridis,green callaloo amaranth,Amaranthaceae,Amaranthus
2,25-09-2021,2021-09-25 11:52:23 UTC,needs_id,https://www.inaturalist.org/observations/96069735,https://inaturalist-open-data.s3.amazonaws.com/photos/159560280/medium.jpeg,13.05342101,80.20236764,licorice weed,Scoparia dulcis,licorice weed,Plantaginaceae,Scoparia
3,25-09-2021,2021-09-25 11:53:27 UTC,research,https://www.inaturalist.org/observations/96069850,https://inaturalist-open-data.s3.amazonaws.com/photos/159560505/medium.jpeg,13.05345713,80.20266325,Indian Acalypha,Acalypha indica,Indian Acalypha,Euphorbiaceae,Acalypha
4,25-09-2021,2021-09-25 11:55:30 UTC,needs_id,https://www.inaturalist.org/observations/96070013,https://inaturalist-open-data.s3.amazonaws.com/photos/159560816/medium.jpeg,13.05339465,80.20242133,Tridax daisy,Tridax procumbens,Tridax daisy,Asteraceae,Tridax
5,25-09-2021,2021-09-25 11:58:12 UTC,research,https://www.inaturalist.org/observations/96070105,https://inaturalist-open-data.s3.amazonaws.com/photos/159561030/medium.jpeg,13.0534017,80.2023797,Indian Acalypha,Acalypha indica,Indian Acalypha,Euphorbiaceae,Acalypha
6,25-09-2021,2021-09-25 11:59:38 UTC,needs_id,https://www.inaturalist.org/observations/96070256,https://inaturalist-open-data.s3.amazonaws.com/photos/159561283/medium.jpeg,13.0533762,80.2023767,mesquite,Prosopis juliflora,mesquite,Fabaceae,Prosopis
7,25-09-2021,2021-09-25 12:00:21 UTC,needs_id,https://www.inaturalist.org/observations/96070333,https://inaturalist-open-data.s3.amazonaws.com/photos/159561412/medium.jpeg,13.05345461,80.20248479,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
8,25-09-2021,2021-09-25 12:01:52 UTC,research,https://www.inaturalist.org/observations/96070582,https://inaturalist-open-data.s3.amazonaws.com/photos/159561822/medium.jpeg,13.05340465,80.20240585,Papaya,Carica papaya,Papaya,Caricaceae,Carica
9,25-09-2021,2021-09-25 12:07:41 UTC,needs_id,https://www.inaturalist.org/observations/96071256,https://inaturalist-open-data.s3.amazonaws.com/photos/159562942/medium.jpeg,13.05341711,80.20165617,Neem,Azadirachta indica,Neem,Meliaceae,Azadirachta
10,25-09-2021,2021-09-25 12:08:08 UTC,research,https://www.inaturalist.org/observations/96071302,https://inaturalist-open-data.s3.amazonaws.com/photos/159562988/medium.jpeg,13.05341142,80.20157673,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
11,25-09-2021,2021-09-25 12:09:05 UTC,needs_id,https://www.inaturalist.org/observations/96071331,https://inaturalist-open-data.s3.amazonaws.com/photos/159563035/medium.jpeg,13.05345771,80.20135413,Kassod Tree,Senna siamea,Kassod Tree,Fabaceae,Senna
12,25-09-2021,2021-09-25 12:09:56 UTC,needs_id,https://www.inaturalist.org/observations/96071375,https://inaturalist-open-data.s3.amazonaws.com/photos/159563065/medium.jpeg,13.05343615,80.20128251,Figs,Ficus,Figs,Moraceae,Ficus
13,25-09-2021,2021-09-25 12:11:24 UTC,research,https://www.inaturalist.org/observations/96071396,https://inaturalist-open-data.s3.amazonaws.com/photos/159563104/medium.jpeg,13.05365183,80.20111481,Indian beech tree,Millettia pinnata,Indian beech tree,Fabaceae,Millettia
14,25-09-2021,2021-09-25 12:13:03 UTC,research,https://www.inaturalist.org/observations/96071459,https://inaturalist-open-data.s3.amazonaws.com/photos/159563250/medium.jpeg,13.05368573,80.20075039,areca palm,Dypsis lutescens,areca palm,Arecaceae,Dypsis
15,25-09-2021,2021-09-25 12:18:59 UTC,needs_id,https://www.inaturalist.org/observations/96071807,https://inaturalist-open-data.s3.amazonaws.com/photos/159564038/medium.jpeg,13.05380199,80.20082687,Be-still tree,Cascabela thevetia,Be-still tree,Apocynaceae,Cascabela
16,25-09-2021,2021-09-25 12:19:39 UTC,needs_id,https://www.inaturalist.org/observations/96071878,https://inaturalist-open-data.s3.amazonaws.com/photos/159564138/medium.jpeg,13.0537478,80.2008697,Jungli Badam,Terminalia catappa,Jungli Badam,Combretaceae,Terminalia
17,25-09-2021,2021-09-25 12:24:44 UTC,needs_id,https://www.inaturalist.org/observations/96072294,https://inaturalist-open-data.s3.amazonaws.com/photos/159564945/medium.jpeg,13.05363963,80.20100341,Pygmy Date Palm,Phoenix roebelenii,Pygmy Date Palm,Arecaceae,Phoenix
18,25-09-2021,2021-09-25 12:27:34 UTC,needs_id,https://www.inaturalist.org/observations/96072498,https://inaturalist-open-data.s3.amazonaws.com/photos/159565283/medium.jpeg,13.05360007,80.20092014,false ashoka,Polyalthia longifolia,false ashoka,Annonaceae,Polyalthia
19,25-09-2021,2021-09-25 12:29:12 UTC,research,https://www.inaturalist.org/observations/96072600,https://inaturalist-open-data.s3.amazonaws.com/photos/159565577/medium.jpeg,13.05385527,80.20109795,oleander,Nerium oleander,oleander,Apocynaceae,Nerium
20,25-09-2021,2021-09-25 12:30:19 UTC,needs_id,https://www.inaturalist.org/observations/96072658,https://inaturalist-open-data.s3.amazonaws.com/photos/159565693/medium.jpeg,13.05386922,80.20112235,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
21,25-09-2021,2021-09-25 12:31:09 UTC,research,https://www.inaturalist.org/observations/96072808,https://inaturalist-open-data.s3.amazonaws.com/photos/159565837/medium.jpeg,13.0538969,80.20110498,oleander,Nerium oleander,oleander,Apocynaceae,Nerium
22,25-09-2021,2021-09-25 12:32:22 UTC,research,https://www.inaturalist.org/observations/96072915,https://inaturalist-open-data.s3.amazonaws.com/photos/159566022/medium.jpeg,13.0540178,80.20110021,Goose Grass,Eleusine indica,Goose Grass,Poaceae,Eleusine
23,25-09-2021,2021-09-25 12:35:03 UTC,research,https://www.inaturalist.org/observations/96073142,https://inaturalist-open-data.s3.amazonaws.com/photos/159566388/medium.jpeg,13.0543551,80.2010435,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
24,25-09-2021,2021-09-25 12:35:41 UTC,needs_id,https://www.inaturalist.org/observations/96073230,https://inaturalist-open-data.s3.amazonaws.com/photos/159566469/medium.jpeg,13.05406909,80.20107973,Crepe Jasmine,Tabernaemontana divaricata,Crepe Jasmine,Apocynaceae,Tabernaemontana
25,25-09-2021,2021-09-25 12:36:41 UTC,research,https://www.inaturalist.org/observations/96073295,https://inaturalist-open-data.s3.amazonaws.com/photos/159566591/medium.jpeg,13.054082,80.20107864,oleander,Nerium oleander,oleander,Apocynaceae,Nerium
26,25-09-2021,2021-09-25 12:37:24 UTC,research,https://www.inaturalist.org/observations/96073460,https://inaturalist-open-data.s3.amazonaws.com/photos/159566753/medium.jpeg,13.0541407,80.2010563,yellow trumpet flower,Tecoma stans,yellow trumpet flower,Bignoniaceae,Tecoma
27,25-09-2021,2021-09-25 12:42:05 UTC,needs_id,https://www.inaturalist.org/observations/96073810,https://inaturalist-open-data.s3.amazonaws.com/photos/159567399/medium.jpeg,13.05401499,80.20069335,mesquite,Prosopis juliflora,mesquite,Fabaceae,Prosopis
28,25-09-2021,2021-09-25 12:48:20 UTC,research,https://www.inaturalist.org/observations/96074269,https://inaturalist-open-data.s3.amazonaws.com/photos/159568299/medium.jpeg,13.05406651,80.20061527,oleander,Nerium oleander,oleander,Apocynaceae,Nerium
29,25-09-2021,2021-09-25 12:50:09 UTC,needs_id,https://www.inaturalist.org/observations/96074428,https://inaturalist-open-data.s3.amazonaws.com/photos/159568630/medium.jpeg,13.05409055,80.20079931,Chamberbitter,Phyllanthus urinaria,Chamberbitter,Phyllanthaceae,Phyllanthus
30,25-09-2021,2021-09-25 12:54:29 UTC,needs_id,https://www.inaturalist.org/observations/96074933,https://inaturalist-open-data.s3.amazonaws.com/photos/159569370/medium.jpeg,13.05295735,80.2016161,aloe vera,Aloe vera,aloe vera,Asphodelaceae,Aloe
31,26-09-2021,2021-09-26 11:16:31 UTC,needs_id,https://www.inaturalist.org/observations/96210327,https://inaturalist-open-data.s3.amazonaws.com/photos/159807488/medium.jpeg,13.05447621,80.20204384,Flamboyant,Delonix regia,Flamboyant,Fabaceae,Delonix
32,26-09-2021,2021-09-26 11:18:07 UTC,needs_id,https://www.inaturalist.org/observations/96210424,https://inaturalist-open-data.s3.amazonaws.com/photos/159807631/medium.jpeg,13.05444662,80.20175898,lesser bougainvillea,Bougainvillea glabra,lesser bougainvillea,Nyctaginaceae,Bougainvillea
33,26-09-2021,2021-09-26 11:22:20 UTC,needs_id,https://www.inaturalist.org/observations/96210651,https://inaturalist-open-data.s3.amazonaws.com/photos/159808065/medium.jpeg,13.05448787,80.20066864,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
34,26-09-2021,2021-09-26 11:22:57 UTC,needs_id,https://www.inaturalist.org/observations/96210682,https://inaturalist-open-data.s3.amazonaws.com/photos/159808153/medium.jpeg,13.0545593,80.20093,Crepe Jasmine,Tabernaemontana divaricata,Crepe Jasmine,Apocynaceae,Tabernaemontana
35,26-09-2021,2021-09-26 11:25:57 UTC,needs_id,https://www.inaturalist.org/observations/96210873,https://inaturalist-open-data.s3.amazonaws.com/photos/159808461/medium.jpeg,13.0545599,80.1999902,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
36,26-09-2021,2021-09-26 11:26:49 UTC,needs_id,https://www.inaturalist.org/observations/96210951,https://inaturalist-open-data.s3.amazonaws.com/photos/159808671/medium.jpeg,13.05455206,80.20024751,Angiospermae,Angiospermae,flowering plants,,
37,26-09-2021,2021-09-26 11:31:36 UTC,research,https://www.inaturalist.org/observations/96211245,https://inaturalist-open-data.s3.amazonaws.com/photos/159809118/medium.jpeg,13.05404896,80.1991356,Indian Acalypha,Acalypha indica,Indian Acalypha,Euphorbiaceae,Acalypha
38,26-09-2021,2021-09-26 11:32:41 UTC,needs_id,https://www.inaturalist.org/observations/96211341,https://inaturalist-open-data.s3.amazonaws.com/photos/159809229/medium.jpeg,13.05403912,80.199141,Chamberbitter,Phyllanthus urinaria,Chamberbitter,Phyllanthaceae,Phyllanthus
39,26-09-2021,2021-09-26 11:34:01 UTC,needs_id,https://www.inaturalist.org/observations/96211474,https://inaturalist-open-data.s3.amazonaws.com/photos/159809275/medium.jpeg,13.0539943,80.1990938,Goose Grass,Eleusine indica,Goose Grass,Poaceae,Eleusine
40,26-09-2021,2021-09-26 11:34:48 UTC,research,https://www.inaturalist.org/observations/96211536,https://inaturalist-open-data.s3.amazonaws.com/photos/159809363/medium.jpeg,13.05394121,80.19903257,oleander,Nerium oleander,oleander,Apocynaceae,Nerium
41,26-09-2021,2021-09-26 11:36:04 UTC,needs_id,https://www.inaturalist.org/observations/96211586,https://inaturalist-open-data.s3.amazonaws.com/photos/159809469/medium.jpeg,13.05410978,80.19872066,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
42,26-09-2021,2021-09-26 11:36:33 UTC,needs_id,https://www.inaturalist.org/observations/96211634,https://inaturalist-open-data.s3.amazonaws.com/photos/159809548/medium.jpeg,13.05401272,80.19842197,Crepe Jasmine,Tabernaemontana divaricata,Crepe Jasmine,Apocynaceae,Tabernaemontana
43,26-09-2021,2021-09-26 11:38:27 UTC,needs_id,https://www.inaturalist.org/observations/96211805,https://inaturalist-open-data.s3.amazonaws.com/photos/159809824/medium.jpeg,13.0540635,80.19825444,Pink jasmine,Jasminum polyanthum,Pink jasmine,Oleaceae,Jasminum
44,26-09-2021,2021-09-26 11:41:29 UTC,needs_id,https://www.inaturalist.org/observations/96211947,https://inaturalist-open-data.s3.amazonaws.com/photos/159810057/medium.jpeg,13.05416739,80.19761446,Weeping fig,Ficus benjamina,Weeping fig,Moraceae,Ficus
45,26-09-2021,2021-09-26 11:44:55 UTC,research,https://www.inaturalist.org/observations/96212208,https://inaturalist-open-data.s3.amazonaws.com/photos/159810458/medium.jpeg,13.05290304,80.19702671,Indian Heliotrope,Heliotropium indicum,Indian Heliotrope,Boraginaceae,Heliotropium
46,26-09-2021,2021-09-26 11:47:50 UTC,needs_id,https://www.inaturalist.org/observations/96212466,https://inaturalist-open-data.s3.amazonaws.com/photos/159810831/medium.jpeg,13.05179423,80.19688659,common lantana,Lantana camara,common lantana,Verbenaceae,Lantana
47,26-09-2021,2021-09-26 11:49:19 UTC,research,https://www.inaturalist.org/observations/96212534,https://inaturalist-open-data.s3.amazonaws.com/photos/159810994/medium.jpeg,13.05142609,80.19701144,Madagascar Periwinkle,Catharanthus roseus,Madagascar Periwinkle,Apocynaceae,Catharanthus
48,26-09-2021,2021-09-26 11:56:46 UTC,research,https://www.inaturalist.org/observations/96213048,https://inaturalist-open-data.s3.amazonaws.com/photos/159811875/medium.jpeg,13.0513164,80.1972215,yellow trumpet flower,Tecoma stans,yellow trumpet flower,Bignoniaceae,Tecoma
49,29-09-2021,2021-09-29 11:29:38 UTC,needs_id,https://www.inaturalist.org/observations/96566230,https://inaturalist-open-data.s3.amazonaws.com/photos/160448357/medium.jpeg,13.0539506,80.20245511,Yellow Flame Tree,Peltophorum pterocarpum,Yellow Flame Tree,Fabaceae,Peltophorum
50,29-09-2021,2021-09-29 11:31:52 UTC,needs_id,https://www.inaturalist.org/observations/96566342,https://inaturalist-open-data.s3.amazonaws.com/photos/160448538/medium.jpeg,13.0538509,80.2024678,tropical spiderwort,Commelina benghalensis,tropical spiderwort,Commelinaceae,Commelina
51,29-09-2021,2021-09-29 11:34:08 UTC,research,https://www.inaturalist.org/observations/96566444,https://inaturalist-open-data.s3.amazonaws.com/photos/160448741/medium.jpeg,13.05327527,80.20250922,yellow trumpet flower,Tecoma stans,yellow trumpet flower,Bignoniaceae,Tecoma
52,29-09-2021,2021-09-29 11:35:00 UTC,needs_id,https://www.inaturalist.org/observations/96566492,https://inaturalist-open-data.s3.amazonaws.com/photos/160448836/medium.jpeg,13.05327905,80.20250621,Flamboyant,Delonix regia,Flamboyant,Fabaceae,Delonix
53,29-09-2021,2021-09-29 11:36:08 UTC,needs_id,https://www.inaturalist.org/observations/96566516,https://inaturalist-open-data.s3.amazonaws.com/photos/160448893/medium.jpeg,13.05324393,80.20241984,Indian Heliotrope,Magnoliopsida,dicots,Magnoliaceae,
54,29-09-2021,2021-09-29 11:38:46 UTC,needs_id,https://www.inaturalist.org/observations/96566649,https://inaturalist-open-data.s3.amazonaws.com/photos/160449190/medium.jpeg,13.05289564,80.20238511,Chamberbitter,Phyllanthus urinaria,Chamberbitter,Phyllanthaceae,Phyllanthus
55,29-09-2021,2021-09-29 11:39:29 UTC,needs_id,https://www.inaturalist.org/observations/96566676,https://inaturalist-open-data.s3.amazonaws.com/photos/160449316/medium.jpeg,13.05288852,80.20238135,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
56,29-09-2021,2021-09-29 11:45:37 UTC,research,https://www.inaturalist.org/observations/96566995,https://inaturalist-open-data.s3.amazonaws.com/photos/160449865/medium.jpeg,13.0529736,80.2010708,Common guava,Psidium guajava,Common guava,Myrtaceae,Psidium
57,29-09-2021,2021-09-29 11:47:07 UTC,needs_id,https://www.inaturalist.org/observations/96567053,https://inaturalist-open-data.s3.amazonaws.com/photos/160450036/medium.jpeg,13.0529762,80.2010148,Chinese hibiscus,Hibiscus rosa-sinensis,Chinese hibiscus,Malvaceae,Hibiscus
58,29-09-2021,2021-09-29 11:53:19 UTC,needs_id,https://www.inaturalist.org/observations/96567437,https://inaturalist-open-data.s3.amazonaws.com/photos/160450707/medium.jpeg,13.0532845,80.1995366,Holy Basil,Ocimum tenuiflorum,Holy Basil,Lamiaceae,Ocimum
59,29-09-2021,2021-09-29 11:55:12 UTC,needs_id,https://www.inaturalist.org/observations/96567518,https://inaturalist-open-data.s3.amazonaws.com/photos/160450867/medium.jpeg,13.05303336,80.20001119,false ashoka,Polyalthia longifolia,false ashoka,Annonaceae,Polyalthia
60,29-09-2021,2021-09-29 11:56:23 UTC,needs_id,https://www.inaturalist.org/observations/96567569,https://inaturalist-open-data.s3.amazonaws.com/photos/160450971/medium.jpeg,13.05302728,80.19989169,little ironweed,Cyanthillium cinereum,little ironweed,Asteraceae,Cyanthillium
61,29-09-2021,2021-09-29 11:58:55 UTC,research,https://www.inaturalist.org/observations/96567762,https://inaturalist-open-data.s3.amazonaws.com/photos/160451300/medium.jpeg,13.05302577,80.19971625,Blue Pea,Clitoria ternatea,Blue Pea,Fabaceae,Clitoria
62,29-09-2021,2021-09-29 12:03:12 UTC,needs_id,https://www.inaturalist.org/observations/96567966,https://inaturalist-open-data.s3.amazonaws.com/photos/160451705/medium.jpeg,13.05225615,80.19930195,Jungle flame,Ixora coccinea,Jungle flame,Rubiaceae,Ixora
63,29-09-2021,2021-09-29 12:04:06 UTC,needs_id,https://www.inaturalist.org/observations/96568133,https://inaturalist-open-data.s3.amazonaws.com/photos/160452030/medium.jpeg,13.05223292,80.19923538,calabur tree,Muntingia calabura,calabur tree,Muntingiaceae,Muntingia
64,29-09-2021,2021-09-29 12:07:39 UTC,needs_id,https://www.inaturalist.org/observations/96568315,https://inaturalist-open-data.s3.amazonaws.com/photos/160452368/medium.jpeg,13.0515245,80.19939026,Oroxyleae,Oroxyleae,,Bignoniaceae,
65,29-09-2021,2021-09-29 12:10:49 UTC,needs_id,https://www.inaturalist.org/observations/96568396,https://inaturalist-open-data.s3.amazonaws.com/photos/160452492/medium.jpeg,13.0516128,80.19968,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
66,29-09-2021,2021-09-29 12:11:42 UTC,needs_id,https://www.inaturalist.org/observations/96568461,https://inaturalist-open-data.s3.amazonaws.com/photos/160452561/medium.jpeg,13.05148371,80.19967211,Indian Acalypha,Acalypha indica,Indian Acalypha,Euphorbiaceae,Acalypha
67,29-09-2021,2021-09-29 12:12:23 UTC,needs_id,https://www.inaturalist.org/observations/96568645,https://inaturalist-open-data.s3.amazonaws.com/photos/160452906/medium.jpeg,13.05150102,80.19991241,Flamboyant,Delonix regia,Flamboyant,Fabaceae,Delonix
68,29-09-2021,2021-09-29 12:16:07 UTC,needs_id,https://www.inaturalist.org/observations/96568752,https://inaturalist-open-data.s3.amazonaws.com/photos/160453138/medium.jpeg,13.05140726,80.20079989,Firebush,Hamelia patens,Firebush,Rubiaceae,Hamelia
69,29-09-2021,2021-09-29 12:17:03 UTC,needs_id,https://www.inaturalist.org/observations/96568880,https://inaturalist-open-data.s3.amazonaws.com/photos/160453296/medium.jpeg,13.05142526,80.20082032,Tahitian gooseberry tree,Phyllanthus acidus,Tahitian gooseberry tree,Phyllanthaceae,Phyllanthus
70,29-09-2021,2021-09-29 12:22:36 UTC,needs_id,https://www.inaturalist.org/observations/96569529,https://inaturalist-open-data.s3.amazonaws.com/photos/160454248/medium.jpeg,13.05131408,80.20283998,hooked bristle grass,Setaria verticillata,hooked bristle grass,Poaceae,Setaria
71,29-09-2021,2021-09-29 12:26:29 UTC,needs_id,https://www.inaturalist.org/observations/96569576,https://inaturalist-open-data.s3.amazonaws.com/photos/160454321/medium.jpeg,13.05131097,80.20289186,Feather Lovegrass,Eragrostis amabilis,Feather Lovegrass,Poaceae,Eragrostis
72,29-09-2021,2021-09-29 12:27:35 UTC,needs_id,https://www.inaturalist.org/observations/96569644,https://inaturalist-open-data.s3.amazonaws.com/photos/160454450/medium.jpeg,13.05127772,80.20344223,lesser bougainvillea,Bougainvillea glabra,lesser bougainvillea,Nyctaginaceae,Bougainvillea
73,29-09-2021,2021-09-29 12:29:19 UTC,research,https://www.inaturalist.org/observations/96569770,https://inaturalist-open-data.s3.amazonaws.com/photos/160454604/medium.jpeg,13.05149496,80.20394579,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
74,29-09-2021,2021-09-29 12:33:21 UTC,needs_id,https://www.inaturalist.org/observations/96570115,https://inaturalist-open-data.s3.amazonaws.com/photos/160455236/medium.jpeg,13.05295582,80.20406173,Indian beech tree,Millettia pinnata,Indian beech tree,Fabaceae,Millettia
75,29-09-2021,2021-09-29 12:36:51 UTC,needs_id,https://www.inaturalist.org/observations/96570595,https://inaturalist-open-data.s3.amazonaws.com/photos/160455958/medium.jpeg,13.05441744,80.20394021,Monkey pod tree,Samanea saman,Monkey pod tree,Fabaceae,Samanea
76,20-10-2021,2021-10-20 11:52:25 UTC,research,https://www.inaturalist.org/observations/98782509,https://inaturalist-open-data.s3.amazonaws.com/photos/164544810/medium.jpeg,13.0548673,80.2037205,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
77,20-10-2021,2021-10-20 11:53:13 UTC,needs_id,https://www.inaturalist.org/observations/98782535,https://inaturalist-open-data.s3.amazonaws.com/photos/164544860/medium.jpeg,13.0548711,80.2040286,Chamberbitter,Phyllanthus urinaria,Chamberbitter,Phyllanthaceae,Phyllanthus
78,20-10-2021,2021-10-20 11:53:52 UTC,needs_id,https://www.inaturalist.org/observations/98782593,https://inaturalist-open-data.s3.amazonaws.com/photos/164544990/medium.jpeg,13.05490115,80.20411709,Custard Apple,Annona squamosa,Custard Apple,Annonaceae,Annona
79,20-10-2021,2021-10-20 11:55:03 UTC,research,https://www.inaturalist.org/observations/98782636,https://inaturalist-open-data.s3.amazonaws.com/photos/164545067/medium.jpeg,13.05524502,80.20427391,Sacred fig,Ficus religiosa,Sacred fig,Moraceae,Ficus
80,20-10-2021,2021-10-20 11:55:45 UTC,needs_id,https://www.inaturalist.org/observations/98782675,https://inaturalist-open-data.s3.amazonaws.com/photos/164545148/medium.jpeg,13.05496237,80.20405039,Neem,Azadirachta indica,Neem,Meliaceae,Azadirachta
